,first_name,last_name,email,email_verified,signup_date,referral_count,balance
bgreen,Brenda,Green,brenda.green@gmail.com,TRUE,2/17/18,7,47.89
bishop,Mason,Bishop,bishop@gmail.com,TRUE,2/14/18,5,4.59
blair4952,Nicole,Blair,nicole.blair@yahoo.com,TRUE,4/22/18,2,32.62
blankenship,April,Blankenship,blankenship11@gmail.com,TRUE,1/12/18,3,48.31
bowers9648,John,Bowers,bowers5600@hotmail.com,TRUE,6/19/18,4,36.92
bowman,Mary,Bowman,mary.bowman@sanchez.net,TRUE,4/13/18,3,54.21
boyer7005,Sara,Boyer,boyer8636@gmail.com,TRUE,7/31/18,0,91.41
bpowers,Bryce,Powers,bryce@yahoo.com,TRUE,2/28/18,2,17.99
bradley,Bradley,,bradley3941@henderson.com,TRUE,6/24/18,4,22.24
bradley3953,Bradley,Mills,mills6497@hotmail.com,TRUE,5/16/18,3,43.89
bradley7808,Bradley,,bradley8794@yahoo.com,TRUE,6/15/18,1,76.49
brandon,Brandon,King,bking@gmail.com,TRUE,2/15/18,5,56.25
brandon.gilbert,Brandon,Gilbert,brandon.gilbert@hotmail.com,TRUE,4/28/18,0,10.17
brenda,Brenda,,brenda@hotmail.com,TRUE,7/28/18,7,6.18
brett643,Brett,Sanchez,sanchez4831@hotmail.com,TRUE,1/3/18,6,30.8
brian.barnes,Brian,Barnes,brian.barnes@hotmail.com,TRUE,6/15/18,7,92.28
brian7426,Brian,Santiago,brian843@hotmail.com,TRUE,3/18/18,1,85.41
brooke2027,Brooke,,brooke6938@gmail.com,FALSE,5/23/18,0,7.22
brown,Kyle,Brown,brown9052@hotmail.com,TRUE,2/27/18,2,43.87
brown6798,Julia,Brown,julia.brown@bishop.com,TRUE,9/10/18,4,16.4
bryant,Darlene,Bryant,dbryant@yahoo.com,TRUE,7/19/18,0,36.91
bsmith,Benjamin,Smith,benjamin5212@hotmail.com,TRUE,8/5/18,3,15.77
burton6737,Darrell,Burton,burton@yahoo.com,TRUE,3/9/18,6,12.29
butler,Amy,Butler,amy4529@hotmail.com,TRUE,5/4/18,4,83.31
caleb,Caleb,Ellison,ellison@gmail.com,TRUE,4/17/18,1,36.84
calvin.perez,Calvin,Perez,cperez@gmail.com,TRUE,2/17/18,0,13.01
campbell1062,Amber,Campbell,amber.campbell@gmail.com,TRUE,1/10/18,3,35.66
campbell4312,Charlotte,Campbell,campbell@hotmail.com,TRUE,3/2/18,0,11.83
carl.fox,Carl,Fox,fox@hotmail.com,TRUE,4/29/18,6,19.13
cassandra,Cassandra,,cassandra9220@gmail.com,TRUE,5/3/18,5,78.9
chad.chen,Chad,Chen,chad.chen@hotmail.com,TRUE,2/9/18,7,7.5
charles,Charles,Tran,tran6961@yahoo.com,TRUE,2/20/18,6,40.79
charles559,Charles,Smith,smith@hotmail.com,TRUE,4/16/18,6,77.05
chorne,Christopher,Horne,horne@gmail.com,TRUE,3/28/18,4,28.49
christina.banks,Christina,Banks,cbanks@yahoo.com,TRUE,3/3/18,2,88.91
christine.brown,Christine,Brown,brown@hotmail.com,TRUE,5/5/18,4,67.24
christine2983,Christine,,christine3128@gmail.com,FALSE,5/23/18,5,94.02
christopher,Christopher,,christopher@gmail.com,TRUE,7/24/18,3,96.96
christopher5982,Christopher,Martin,martin@yahoo.com,FALSE,8/22/18,3,4.32
christopher6861,Christopher,Mitchell,mitchell@hotmail.com,FALSE,6/20/18,4,55.46
cjimenez,Charles,Jimenez,charles8775@gmail.com,TRUE,2/17/18,0,55.84
cjones,Carla,Jones,carla2889@gmail.com,TRUE,6/23/18,1,33.32
clark8139,Tara,Clark,clark@gmail.com,TRUE,1/26/18,6,93.23
clayton6074,Robert,Clayton,robert@gmail.com,TRUE,1/12/18,7,97.05
coleman,Amber,Coleman,amber1175@yahoo.com,TRUE,5/17/18,5,15.79
collin,Collin,,collin@gmail.com,FALSE,8/18/18,7,89.95
collins,Tyler,Collins,tyler.collins@hotmail.com,TRUE,8/16/18,6,94.69
colton,Colton,Burke,colton9297@yahoo.com,TRUE,2/12/18,6,57.98
conley,Courtney,Conley,conley140@gmail.com,TRUE,6/23/18,2,26.28
corey,Corey,Fuller,fuller8100@yahoo.com,TRUE,4/19/18,3,31.56
corey.ingram,Corey,Ingram,corey.ingram@gmail.com,TRUE,9/11/18,1,69.54
courtney9644,Courtney,Macias,courtney.macias@hotmail.com,TRUE,7/14/18,6,25.18
cox192,Eric,Cox,eric@hotmail.com,TRUE,6/24/18,3,0.05
crane203,Valerie,Crane,valerie7051@hotmail.com,TRUE,5/12/18,3,98.69
cross9059,Emily,Cross,emily8281@gmail.com,TRUE,1/7/18,7,83.62
cynthia5799,Cynthia,Castillo,ccastillo@moore.org,TRUE,3/9/18,0,91.83
dale,Dale,Salinas,dale@gmail.com,TRUE,4/1/18,2,19.61
dana.andrews,Dana,Andrews,dandrews@thomas.org,TRUE,9/16/18,4,54.68
danderson,David,Anderson,david@hotmail.com,TRUE,7/22/18,6,49.52
daniel,Daniel,Allen,allen@hotmail.com,FALSE,7/1/18,2,21.21
daniel.livingston,Daniel,Livingston,livingston794@yahoo.com,TRUE,6/22/18,5,29.66
daniel.williams,Daniel,Williams,williams6378@yahoo.com,TRUE,3/13/18,4,93.85
daniel1611,Daniel,Morales,morales8909@gmail.com,FALSE,5/15/18,7,60.66
danielle,Danielle,Salazar,danielle4662@drake.com,TRUE,3/21/18,3,45.09
darlene.adams,Darlene,Adams,adams@hotmail.com,TRUE,9/15/18,2,67.02
david,David,,david300@gmail.com,TRUE,3/28/18,0,59.74
david.barnett,David,Barnett,barnett462@hotmail.com,TRUE,2/21/18,2,46.88
david2796,David,Mcclure,david3888@hotmail.com,TRUE,9/16/18,5,37.6
david5498,David,Garcia,david2998@hotmail.com,TRUE,1/5/18,4,29.14
davis,Erica,Davis,erica@gmail.com,TRUE,6/8/18,2,53.52
davis9225,Laura,Davis,laura@hotmail.com,TRUE,3/19/18,3,51.81
davis9792,David,Davis,davis3883@hotmail.com,TRUE,1/4/18,4,36.9
dawn,Dawn,,dawn6718@hotmail.com,TRUE,3/2/18,2,72.63
dawn.juarez,Dawn,Juarez,dawn@hotmail.com,TRUE,4/13/18,1,16.38
dean,Lynn,Dean,dean@gmail.com,TRUE,5/22/18,3,17.45
dean2365,Brian,Dean,dean3892@hotmail.com,TRUE,1/8/18,6,8.5
debbie4918,Debbie,,debbie3109@hotmail.com,TRUE,2/9/18,7,73.63
debra,Debra,Frazier,frazier@yahoo.com,TRUE,6/1/18,1,80.71
decker1985,Robert,Decker,robert@yahoo.com,TRUE,4/4/18,7,92.55
dedwards,Deborah,Edwards,deborah@hotmail.com,FALSE,1/13/18,0,25.63
denise3770,Denise,Cabrera,cabrera@hotmail.com,FALSE,7/21/18,1,95.08
dennis,Trevor,Dennis,dennis@gmail.com,TRUE,4/29/18,2,10.04
dennis4593,Ann,Dennis,ann.dennis@christensen.com,TRUE,4/23/18,6,79.24
diana,Diana,Wagner,wagner8014@gmail.com,TRUE,1/15/18,4,19.45
diana1995,Diana,Gregory,gregory@gmail.com,TRUE,3/22/18,4,51.81
diane4652,Diane,,diane9705@yahoo.com,FALSE,8/17/18,1,62.05
donald1420,Donald,,donald1129@gmail.com,TRUE,8/24/18,2,74.58
donald3362,Donald,Kennedy,donald@small.biz,FALSE,4/1/18,2,81.06
donna1922,Donna,Castillo,donna.castillo@hotmail.com,TRUE,2/18/18,7,77.79
dustin.fowler,Dustin,Fowler,dustin@yahoo.com,TRUE,4/9/18,2,37.8
ebryant,Erik,Bryant,bryant@yahoo.com,TRUE,7/21/18,6,31.49
edward1527,Edward,,edward1672@yahoo.com,FALSE,3/7/18,3,69.63
edwards,Michael,Edwards,edwards5456@gmail.com,TRUE,5/6/18,4,83.33
edwards8658,Alan,Edwards,alan8469@hotmail.com,FALSE,2/24/18,1,24.93
ehaney,Emily,Haney,haney@gmail.com,TRUE,6/12/18,3,64.65
eharding,Eric,Harding,eric1206@yahoo.com,TRUE,8/25/18,1,42.71
ehernandez,Elizabeth,Hernandez,elizabeth.hernandez@gmail.com,TRUE,8/21/18,1,69.17
ekidd,Elizabeth,Kidd,kidd7082@hotmail.com,TRUE,8/1/18,7,13.14
elaine,Elaine,,elaine@yahoo.com,FALSE,4/20/18,5,45.2
elang,Erica,Lang,lang@gmail.com,TRUE,3/24/18,2,77.66
elizabeth,Elizabeth,Johnson,johnson913@yahoo.com,TRUE,2/20/18,1,77.91
emily,Emily,,emily7694@hotmail.com,TRUE,6/29/18,2,89.16
emily.anderson,Emily,Anderson,emily7106@gmail.com,TRUE,2/21/18,0,77.69
emily.lewis,Emily,Lewis,lewis8915@yahoo.com,TRUE,1/13/18,4,57.51
epeters,Emily,Peters,emily.peters@hotmail.com,TRUE,5/9/18,1,64.91
eric1415,Eric,Moon,emoon@yahoo.com,TRUE,4/25/18,6,39.16
erin,Erin,Robinson,erin@gmail.com,TRUE,6/17/18,7,70.32
erin4486,Erin,Wright,erin.wright@gmail.com,TRUE,5/31/18,5,76.18
eugene4448,Eugene,,eugene@gmail.com,TRUE,6/8/18,0,95.38
evelyn,Evelyn,Spencer,evelyn.spencer@yahoo.com,FALSE,7/29/18,6,6.25
fernandez,Theresa,Fernandez,theresa@gmail.com,TRUE,1/13/18,5,47.13
figueroa7283,Amy,Figueroa,figueroa@gmail.com,TRUE,7/27/18,3,36.5
fisher,Kenneth,Fisher,kenneth.fisher@ryan.net,TRUE,5/11/18,0,88.87
fitzgerald,William,Fitzgerald,wfitzgerald@pham-nguyen.com,TRUE,5/18/18,0,39.04
flores,Catherine,Flores,catherine346@oneal-roberts.info,TRUE,5/1/18,0,3.97
fox,David,Fox,fox@yahoo.com,TRUE,9/5/18,7,86.65
francis.hernandez,Francis,Hernandez,hernandez5650@hotmail.com,TRUE,2/12/18,3,28.44
freeman,Tamara,Freeman,tfreeman@yahoo.com,TRUE,4/22/18,7,51.72
fuentes,Alexander,Fuentes,alexander1368@gmail.com,TRUE,8/3/18,0,86.57
fuller3354,Nicole,Fuller,fuller@hotmail.com,FALSE,4/8/18,7,14.4
gail2190,Gail,Klein,gklein@yahoo.com,TRUE,8/17/18,4,48.7
gail7896,Gail,Clarke,clarke@gmail.com,TRUE,5/5/18,1,67.14
gary.mitchell,Gary,Mitchell,mitchell1601@davidson-wilson.com,FALSE,4/8/18,4,76.19
gerald.bryant,Gerald,Bryant,gerald.bryant@yahoo.com,TRUE,4/15/18,5,87.08
gibson9198,Jason,Gibson,jason4132@yahoo.com,TRUE,4/12/18,6,85.34
glen9827,Glen,Hawkins,glen8942@gmail.com,TRUE,2/2/18,5,27.72
grace7647,Grace,Payne,grace546@yahoo.com,TRUE,3/14/18,5,38.41
graham,Christopher,Graham,cgraham@hotmail.com,TRUE,7/6/18,3,18.18
grant1643,Jay,Grant,grant3970@hotmail.com,TRUE,1/25/18,7,3.01
greg5920,Greg,Kelley,greg1612@gmail.com,TRUE,1/2/18,6,29.16
gregory.blackwell,Gregory,Blackwell,gblackwell@frost-white.com,TRUE,1/10/18,3,63.14
gregory.rios,Gregory,Rios,gregory@gmail.com,TRUE,1/13/18,4,16.42
gregory7148,Jon,Gregory,gregory@keller-moran.net,TRUE,1/11/18,6,15.62
gregory9829,Gregory,Webb,gregory.webb@yahoo.com,TRUE,9/1/18,5,68.07
griffin4992,Kaitlin,Griffin,kaitlin.griffin@yahoo.com,TRUE,3/10/18,7,22.68
gstevens,Gabriella,Stevens,gabriella@gmail.com,FALSE,5/10/18,6,3.64
guzman4000,Ronald,Guzman,rguzman@gmail.com,TRUE,7/10/18,4,50.26
hall,George,Hall,hall@gmail.com,TRUE,3/14/18,3,85.4
hamilton,Douglas,Hamilton,hamilton6279@gmail.com,TRUE,6/30/18,1,58.98
hamilton4258,Mary,Hamilton,hamilton@yahoo.com,TRUE,3/30/18,4,72.44
harmon,Justin,Harmon,justin.harmon@hotmail.com,FALSE,4/12/18,4,91.87
harold,Harold,Willis,willis9328@yahoo.com,FALSE,5/7/18,1,6
harris7556,Kelli,Harris,kharris@gmail.com,TRUE,6/18/18,0,53.44
hart24,Teresa,Hart,teresa778@lucas.biz,FALSE,5/18/18,4,16.69
hayes2585,Daniel,Hayes,dhayes@gmail.com,TRUE,5/10/18,7,22.64
hdeleon,Hannah,Deleon,hannah@yahoo.com,TRUE,9/12/18,6,48.93
heather,Heather,Ray,hray@yahoo.com,TRUE,5/14/18,5,41.65
heather.wade,Heather,Wade,heather.wade@yahoo.com,TRUE,9/25/18,0,45.95
hector,Hector,Bowers,hbowers@hotmail.com,TRUE,7/9/18,0,21.24
helen5691,Helen,Simmons,simmons695@gmail.com,TRUE,3/2/18,3,93.83
henry,Steven,Henry,steven.henry@gmail.com,TRUE,3/7/18,1,12.58
henry4707,Nancy,Henry,nancy.henry@gmail.com,TRUE,3/2/18,3,73.17
higgins,Duane,Higgins,higgins@gmail.com,TRUE,4/3/18,5,62.12
hmiller,Howard,Miller,howard6112@yahoo.com,TRUE,4/25/18,6,64.03
holden4580,Jason,Holden,holden@gmail.com,TRUE,1/17/18,3,7.95
hoover4302,Michelle,Hoover,mhoover@hotmail.com,TRUE,2/9/18,0,37.38
hunt3408,Ethan,Hunt,hunt7143@gmail.com,FALSE,6/23/18,3,62.81
isabella,Isabella,Golden,isabella@perez-schultz.net,FALSE,7/24/18,5,65.71
jackson4431,Melissa,Jackson,jackson@gmail.com,TRUE,2/6/18,7,69.32
jacob,Jacob,Rose,rose@yahoo.com,TRUE,7/15/18,4,2.85
jacob.davis,Jacob,Davis,jdavis@gmail.com,FALSE,9/16/18,0,95.7
jaime6887,Jaime,Johnson,johnson@garcia-contreras.org,FALSE,1/19/18,4,81.6
james,James,Nichols,nichols@ramirez.com,FALSE,9/6/18,5,88.7
janet.williams,Janet,Williams,janet9480@hotmail.com,TRUE,5/31/18,0,71.53
jason,Jason,Nguyen,nguyen7758@yahoo.com,TRUE,4/30/18,1,60.4
jason4651,Jason,Parks,jason@yahoo.com,TRUE,9/3/18,3,40.76
jason7792,Jason,Holland,jholland@hotmail.com,FALSE,1/18/18,0,22.37
jbarker,Joe,Barker,joe@yahoo.com,FALSE,8/12/18,3,68.91
jcastaneda,Joshua,Castaneda,jcastaneda@yahoo.com,FALSE,5/6/18,7,53.54
jcoleman,Jason,Coleman,jason3300@gmail.com,TRUE,5/18/18,7,59.62
jcordova,Jennifer,Cordova,jcordova@hotmail.com,TRUE,2/27/18,0,31.72
jdiaz,Jay,Diaz,jdiaz@yahoo.com,FALSE,5/28/18,4,25.43
jeffrey,Jeffrey,Stewart,stewart7222@hotmail.com,TRUE,1/2/18,0,40.58
jennifer,Jennifer,Dean,jdean@davis-warren.com,TRUE,4/26/18,6,70.26
jennifer.hebert,Jennifer,Hebert,jennifer.hebert@yahoo.com,TRUE,7/24/18,5,16.27
jennifer.hendrix,Jennifer,Hendrix,hendrix1706@gmail.com,TRUE,1/15/18,0,37.2
jennifer.walker,Jennifer,Walker,walker6745@yahoo.com,FALSE,3/18/18,0,60.79
jennifer.wong,Jennifer,Wong,jwong@yahoo.com,TRUE,7/3/18,7,95.1
jennifer4743,Jennifer,Carter,jennifer.carter@gmail.com,TRUE,8/28/18,6,33.33
jensen7832,Steven,Jensen,steven.jensen@hotmail.com,TRUE,5/20/18,3,22.04
jeremy1104,Jeremy,Warren,jwarren@hotmail.com,TRUE,4/1/18,0,74.38
jerome.sims,Jerome,Sims,sims141@gmail.com,TRUE,9/13/18,7,34.31
jerry,Jerry,Mathis,jmathis@hotmail.com,TRUE,4/15/18,4,8.75
jessica,Jessica,,jessica@gmail.com,TRUE,6/14/18,2,23.09
jessica3924,Jessica,Preston,preston5688@yahoo.com,TRUE,9/4/18,3,42.68
jesus9614,Jesus,Johnson,johnson6528@gmail.com,TRUE,7/12/18,6,31.75
jgonzalez,Jenny,Gonzalez,jenny.gonzalez@hotmail.com,TRUE,6/3/18,1,0.59
jholloway,Julia,Holloway,julia9698@gmail.com,FALSE,9/8/18,6,16.27
jlong,Jessica,Long,jessica7275@gmail.com,TRUE,7/11/18,3,63.12
joel8826,Joel,Gates,joel516@hotmail.com,FALSE,3/5/18,4,71.6
john,John,,john@hotmail.com,TRUE,9/24/18,3,84.67
john.hardy,John,Hardy,hardy@gmail.com,TRUE,3/2/18,1,51.57
john.smith,John,Smith,john.smith@hotmail.com,TRUE,6/24/18,4,21.01
john6967,John,Vance,jvance@yahoo.com,TRUE,6/24/18,0,0.42
johnson,Brian,Johnson,johnson@hotmail.com,TRUE,9/11/18,7,12.23
johnson3004,Donald,Johnson,donald.johnson@gmail.com,TRUE,3/3/18,0,38.51
johnston2281,Nicholas,Johnston,njohnston@yahoo.com,TRUE,7/8/18,0,9.22
jonathan5101,Jonathan,Hayes,hayes1910@yahoo.com,TRUE,9/3/18,1,65.5
jones,Erin,Jones,erin.jones@yahoo.com,TRUE,1/25/18,2,86.66
jones5796,Katherine,Jones,jones@yahoo.com,TRUE,4/11/18,1,6.41
jordan5739,Jordan,Clayton,clayton@gmail.com,TRUE,6/26/18,1,81.47
jose.moreno,Jose,Moreno,jose@hotmail.com,TRUE,4/10/18,5,73.64
joseph.lopez,Joseph,Lopez,joseph@gmail.com,TRUE,8/12/18,6,65.99
joseph2431,Joseph,Harris,joseph@gmail.com,TRUE,3/7/18,5,95.47
joshua.henry,Joshua,Henry,joshua@hotmail.com,TRUE,1/5/18,2,80.03
joshua3747,Joshua,,joshua@hotmail.com,TRUE,5/22/18,0,11.7
joshua9690,Joshua,White,jwhite@hotmail.com,FALSE,3/27/18,7,47.31
jramos,Joshua,Ramos,joshua@yahoo.com,TRUE,7/10/18,6,75.56
jramsey,Jeremy,Ramsey,jeremy.ramsey@gmail.com,TRUE,2/18/18,5,58.74
jreeves,Jill,Reeves,reeves4581@yahoo.com,TRUE,7/27/18,2,56.56
jserrano,Jillian,Serrano,jillian@yahoo.com,TRUE,6/12/18,5,41.25
jstewart,Juan,Stewart,stewart@yahoo.com,TRUE,8/15/18,4,87.53
kallen,Kathy,Allen,kathy@hotmail.com,FALSE,2/20/18,1,43.72
kara,Kara,Ortega,kara9172@hotmail.com,TRUE,3/22/18,2,9.17
karen.snow,Karen,Snow,ksnow@yahoo.com,TRUE,5/6/18,2,99.38
katherine,Katherine,,katherine@yahoo.com,FALSE,1/26/18,3,59.06
kathy,Kathy,,kathy@gmail.com,FALSE,4/30/18,0,8.9
katrina.ingram,Katrina,Ingram,kingram@harris.com,TRUE,2/18/18,7,27.4
keith,Keith,Mercado,keith.mercado@yahoo.com,TRUE,5/21/18,2,0.85
keith2323,Keith,Lewis,keith.lewis@yahoo.com,TRUE,3/8/18,2,79.86
kelly5683,Kelly,Welch,kelly@hotmail.com,TRUE,9/20/18,5,9.24
kelly7722,Kelly,Knapp,knapp@yahoo.com,FALSE,5/20/18,0,73.62
kenneth.chambers,Kenneth,Chambers,kchambers@hotmail.com,TRUE,3/27/18,6,55.98
kent,Kayla,Kent,kent98@yahoo.com,TRUE,8/15/18,5,65.62
kevin,Kevin,Carter,kevin8487@ward-lopez.com,TRUE,3/17/18,5,6.68
kim1649,Stephen,Kim,stephen9674@gmail.com,TRUE,8/22/18,4,18.25
kimberly,Kimberly,,kimberly@yahoo.com,FALSE,1/6/18,5,54.73
kimberly.decker,Kimberly,Decker,kimberly5373@hotmail.com,FALSE,3/2/18,3,79.62
king,Billy,King,billy.king@hotmail.com,TRUE,5/29/18,4,98.8
king3246,Brittney,King,brittney@yahoo.com,TRUE,4/15/18,6,98.79
kirk,Kirk,Massey,kmassey@hotmail.com,TRUE,5/30/18,6,62.3
klein,Ashley,Klein,ashley@gmail.com,TRUE,3/6/18,3,13.65
kpratt,Kyle,Pratt,pratt@gmail.com,TRUE,3/17/18,2,4.51
kristen1581,Kristen,Thompson,kthompson@yahoo.com,FALSE,3/22/18,2,85.18
kristi7553,Kristi,Foster,kfoster@gmail.com,TRUE,6/8/18,0,40.14
kristina.miller,Kristina,Miller,miller@gmail.com,TRUE,3/8/18,7,90.82
krystal,Krystal,,krystal@hotmail.com,TRUE,5/30/18,3,46.92
kyle.gentry,Kyle,Gentry,kgentry@gmail.com,TRUE,8/30/18,6,42.36
lacey8987,Lacey,Ball,lacey5080@gmail.com,TRUE,1/2/18,0,93.49
laura,Laura,Wells,laura@yahoo.com,TRUE,6/1/18,3,36.74
lauren,Lauren,Aguilar,lauren.aguilar@summers.com,FALSE,5/31/18,4,69.9
lawrence1685,Derrick,Lawrence,lawrence7507@gmail.com,TRUE,8/5/18,5,47.29
lawrence3513,Katherine,Lawrence,lawrence@gmail.com,FALSE,6/23/18,2,76.63
lawson,Katherine,Lawson,katherine9625@gmail.com,TRUE,5/13/18,4,64.14
lcruz,Lauren,Cruz,lauren@gmail.com,TRUE,4/29/18,6,87.16
leah6255,Leah,Black,leah6754@willis.info,TRUE,1/13/18,1,43.67
lee,Catherine,Lee,catherine@hotmail.com,TRUE,5/22/18,5,73.1
lee3744,Timothy,Lee,lee@hotmail.com,FALSE,6/14/18,6,77.85
lewis8579,Christopher,Lewis,christopher.lewis@gmail.com,FALSE,2/24/18,6,5.68
lgregory,Leah,Gregory,gregory@gmail.com,TRUE,6/27/18,3,48.84
linda,Linda,,linda@hill-ferguson.info,FALSE,3/27/18,1,38.67
lindsay.coleman,Lindsay,Coleman,coleman7772@hotmail.com,TRUE,8/23/18,0,83.02
lisa,Lisa,Cook,lcook@hotmail.com,TRUE,6/14/18,2,34.82
lisa7840,Lisa,Anderson,lisa2797@hotmail.com,TRUE,7/24/18,4,91.46
lisa8780,Lisa,,lisa@hotmail.com,TRUE,5/3/18,3,36.82
lmoore,Lisa,Moore,moore1489@hotmail.com,TRUE,2/20/18,1,51.68
lowe,Albert,Lowe,albert.lowe@lopez.com,TRUE,1/13/18,1,60.9
lspencer,Laura,Spencer,spencer@yahoo.com,TRUE,7/7/18,6,17.59
lucero5925,Nicholas,Lucero,nicholas@gmail.com,TRUE,4/8/18,7,34.61
luis.brooks,Luis,Brooks,brooks7349@jones.com,TRUE,4/23/18,6,79.61
mackenzie,Mackenzie,Smith,smith3292@hotmail.com,TRUE,2/21/18,2,69.5
madison,Madison,Griffin,madison@gmail.com,TRUE,7/31/18,0,32.85
manning8686,Stephen,Manning,stephen@benson.com,TRUE,6/21/18,6,54.79
marcus.berry,Marcus,Berry,marcus.berry@stein.com,TRUE,5/14/18,3,6.81
margaret,Margaret,Wells,wells4044@yahoo.com,TRUE,4/11/18,1,47.12
margaret265,Margaret,,margaret@gmail.com,TRUE,1/5/18,1,96.14
maria955,Maria,,maria8257@gmail.com,TRUE,6/26/18,0,9.87
mark,Mark,Shaw,shaw4221@yahoo.com,FALSE,1/15/18,5,6.25
mark1376,Mark,Hatfield,hatfield@gmail.com,TRUE,5/4/18,5,49.52
mark1605,Mark,,mark1905@gmail.com,TRUE,6/15/18,1,44.92
mark20,Mark,Hernandez,mhernandez@butler.org,TRUE,4/8/18,3,84.33
mark5306,Mark,Lee,mark.lee@thompson.info,TRUE,4/27/18,7,12.34
mark8466,Mark,,mark2286@hotmail.com,FALSE,6/1/18,6,5.11
martha.willis,Martha,Willis,martha5711@gmail.com,FALSE,9/7/18,5,86.08
martha6969,Martha,Dominguez,dominguez@hensley.com,FALSE,9/4/18,7,42.36
martin,Caroline,Martin,caroline@hotmail.com,TRUE,8/30/18,3,16.55
martinez,Alicia,Martinez,martinez@hotmail.com,FALSE,8/16/18,5,53.45
massey2102,Philip,Massey,philip@gmail.com,TRUE,4/28/18,4,25.04
matthew5486,Matthew,Weeks,matthew@hotmail.com,TRUE,4/23/18,5,35.25
matthew7940,Matthew,Smith,msmith@hotmail.com,TRUE,1/27/18,4,73.55
mays,Jacob,Mays,jmays@yahoo.com,TRUE,3/1/18,4,83.85
mbrown,Madison,Brown,madison1633@yahoo.com,FALSE,3/18/18,2,87.56
mburke,Mark,Burke,burke9543@gmail.com,FALSE,3/3/18,7,20.5
mcarroll,Mark,Carroll,mark.carroll@yahoo.com,TRUE,9/9/18,5,64.46
mcclain9882,Amy,Mcclain,amy@yahoo.com,TRUE,9/24/18,6,44.28
mcguire,George,Mcguire,george.mcguire@mcdowell.biz,TRUE,3/4/18,2,86.74
medina891,Rose,Medina,rose.medina@wolfe.net,TRUE,1/1/18,5,54.68
megan.terry,Megan,Terry,megan8248@yahoo.com,TRUE,5/19/18,3,80.24
melanie,Melanie,,melanie4308@hotmail.com,FALSE,7/30/18,1,44.94
melissa.mendoza,Melissa,Mendoza,mendoza7698@yahoo.com,TRUE,1/18/18,2,72.05
melvin9380,Melvin,Foster,foster5075@marshall.com,TRUE,2/21/18,3,30.39
mevans,Matthew,Evans,matthew@yahoo.com,TRUE,4/5/18,2,13.55
michael,Michael,,michael952@hotmail.com,TRUE,1/28/18,0,78.56
michael.olson,Michael,Olson,olson5084@gmail.com,TRUE,7/8/18,3,88.39
michael.williams,Michael,Williams,michael@yahoo.com,TRUE,8/19/18,7,11.73
michael7792,Michael,,michael@vega.com,FALSE,8/5/18,5,32.38
